name	price	total volume	diffrence market cap	beta	eps	Peratio	avg bid	avg ask	diffchange	avg.volume
AMZN	1160.87	20988520	-56233000000	1.39	3.92	295.99	191070.7245	200828.9314	-11.18	3580562
APPL	169.24	156619141	-31816666667	1.34	9.21	18.38	94366.07519	92717.0194	-0.71	28891573
GOOGL	1049.5	8880330	4.06583E+11	1.03	29.92	35.08	150718.9141	159729.1136	19.09	1545498
TWTR	21.095	72266504	3.17833E+11	1.3	-0.5	0	40878.5616	42629.70936	0.575	16948820
CB	75.67	87143899	1.224E+11	1.66	5.18	14.61	87043.62851	68285.96014	-0.04	"15,354,604"
GS	250.16	10676816	5.755E+11	1.49	19.2	13.03	40409.8062	40785.5956	-4.73	"2,647,843"
MS	52.88	33879254	1.226E+11	1.59	3.61	14.65	37783.07524	40110.70907	-0.23	"7,702,598"
JPM	105.88	67358472	-1.4148E+11	1.32	6.94	15.25	75903.97736	82968.19279	-1.85	"12,540,496"
BIO	254.75	860546	1.92167E+11	1.02	0.80	317.64	38918.2231	41609.86082	-16.31	182370
NOV	35.745	67295652	-1.4505E+11	1.07	1.619	22.08	177889.2198	162008.1963	-0.55	16285045
SNF	43.24	6955865	-53450000000	0.78	4.23	10.21	30279.30338	28059.14523	1.47	1239850
PFE	83.91	5875419	-5.06774E+11	0.73	2.81	29.89	30288.12557	28079.50277	-1.64	1735223
