name	price	volume	diffrence market cap	Peratio	beta	eps	total change	avg.volume	avg bid	avg ask	change
AMZN	1133.72	5680009	-4.14E+11	288.33	1.39	3.93	-28.63	3513406	241925.5	235532.719	-16.7985
APPL	169.85	28030954	-6.37E+11	19.28	1.34	8.81	-1.2	28697919	79548.46021	82283.02341	0.106436
GOOGL	1012.28	1785126	-9.04E+11	36.69	1.01	27.59	-12.79	1523547	161423.9389	141217.946	-12.79
TWTR	20.4	11168859	2.40E+11	0	1.31	-0.63	-0.31	17047766	37536.81183	35629.94364	-0.19374
CB	77.65	13836564	5.72E+11	14.99	1.66	5.18	2.14	15198561	72034.63172	71961.98123	1.932481
GS	252.7	2245102	1.00E+11	13.16	1.48	19.2	3.75	2718887	38703.02406	42709.59826	3.4575
MS	53.16	6823776	-3.62E+11	14.76	1.58	3.6	1.21	7689779	34984.41638	35360.36764	1.117057
JPM	107.14	16073551	-2.70E+11	15.44	1.29	6.94	2.35	12321973	59777.02685	77537.32013	2.461329
BIO	257.32	162534	-3.17E+11	508.54	1.02	0.51	-11.48	180079	31839.97528	37979.59841	-4.94234
NOV	36.06	11863833	-1.41E+11	26.38	1.07	1.367	-0.29	16152731	140596.8378	149414.6187	-0.01634
SNF	44.205	1223445	-1.40E+11	10.34	0.83	4.274	-0.415	1218131	26250.76757	39164.9686	-0.26561
PFE	84.9	975408	-2.62E+11	31	0.73	2.739	-1.15	1806392	26250.76757	39164.9686	-0.65407
