name	price	diffrence market cap	volume	avg.volume	Peratio	beta	eps	total change	avg bid	avg ask	change
AMZN	1152.59	5.6555E+11	2555350	3569654	293.88	1.39	3.92	11.03	183090.528	179408.0896	7.562649
APPL	169.06	3.389E+11	25874004	28724390	18.36	1.34	9.21	-0.58	88108.15107	80122.03522	-0.33012
GOOGL	1033.52	9.326E+11	1191226	1537929	37.46	1.01	27.59	13.92	137791.9487	154192.1697	13.92
TWTR	21.08	2.1E+11	13541180	16966110	0	1.3	-0.63	0.31	38232.05504	37581.3876	0.296996
CB	75.47	-2.832E+11	14602553	15294985	14.57	1.66	5.18	-1.07	99335.21456	67825.07136	-0.40971
GS	245.85	9.82E+11	2091672	2682378	12.8	1.48	19.2	-2.48	47788.42487	48463.48469	-1.60941
MS	51.7	5.43E+11	6307037	7724423	14.36	1.58	3.6	-0.31	38021.97926	38207.69967	-0.22618
JPM	105	-1.96E+11	12164973	12502289	15.13	1.32	6.94	-0.72	76538.72727	83349.61553	-0.39895
BIO	253.69	9E+11	109002	180856	316.32	1.02	0.80	-0.11	34453.1608	35952.62182	-0.41883
NOV	35.57	-3.58E+11	13751882	16250840	21.97	1.07	1.62	-0.06	224165.5875	218524.5657	-0.000517
SNF	43.1445	4.3E+11	1358914	1228501	10.82	0.73	4.23	-0.3655	28212.60313	22729.55191	-0.28921
PFE	83.16	1.21E+11	1203955	1772725	29.64	0.73	2.087	-0.68	28212.60314	22729.55192	-0.63617
